Dataset,Model,Precision,Recall,F1,ROC-AUC,Delay(win),Threshold
SMAP,Mahalanobis,1,0.3087,0.4718,0.871,9.5,22.78032
SMAP,Isolation Forest,1,0.1913,0.3212,0.6335,3.2,0.57056
SMAP,PCA-AE,1,0.2043,0.3394,0.9259,7.8,1.055259943
SMAP,LSTM-AE (MLP),1,0.2043,0.3394,0.962,3.8,1.332340002
SMAP,Transformer,1,0.087,0.16,0.9427,0.2,1.871970057
SMAP,GNN-VAE,1,0.2043,0.3394,0.9634,2.2,1.816419959
MSL,Mahalanobis,1,0.165,0.2833,0.9008,1,111.41231
MSL,Isolation Forest,0.9583,0.2233,0.3622,0.5209,8,0.55963
MSL,PCA-AE,1,0.165,0.2833,0.9582,0,1.470690012
MSL,LSTM-AE (MLP),1,0.165,0.2833,0.9937,5,1.702559948
MSL,Transformer,1,0.165,0.2833,0.9695,5,3.257999897
MSL,GNN-VAE,1,0.165,0.2833,0.9914,0,1.574820042
OPS-SAT,Mahalanobis,1,0.2405,0.3878,0.9392,1.5,19.39667
OPS-SAT,Isolation Forest,1,0.2405,0.3878,0.9168,7,0.54578
OPS-SAT,PCA-AE,1,0.2405,0.3878,0.9982,3,4.359000206
OPS-SAT,LSTM-AE (MLP),1,0.2405,0.3878,1,2.5,3.963429928
OPS-SAT,Transformer,1,0.2405,0.3878,1,5.5,8.881210327
OPS-SAT,GNN-VAE,1,0.2405,0.3878,1,5,3.965749979
